2021/1/1,4.6
2021/1/2,5.6
2021/1/3,6.1
2021/1/4,6.1
2021/1/5,6.1
2021/1/6,6.8
2021/1/7,3.3
2021/1/8,0.2
2021/1/9,0.9
2021/1/10,2.5
2021/1/11,3.4
2021/1/12,3.2
2021/1/13,5.5
2021/1/14,7.5
2021/1/15,9.3
2021/1/16,8.6
2021/1/17,6.8
2021/1/18,4.6
2021/1/19,4.1
2021/1/20,4.7
2021/1/21,7.2
2021/1/22,8.5
2021/1/23,8.6
2021/1/24,8.3
2021/1/25,10.1
2021/1/26,12.1
2021/1/27,11.6
2021/1/28,8.6
2021/1/29,3.8
2021/1/30,4.8
2021/1/31,7.7
2021/2/1,7.9
2021/2/2,9.5
2021/2/3,5.7
2021/2/4,6.7
2021/2/5,7.3
2021/2/6,10.8
2021/2/7,9.6
2021/2/8,6.8
2021/2/9,4.7
2021/2/10,7.8
2021/2/11,9.8
2021/2/12,10.1
2021/2/13,13.7
2021/2/14,14.5
2021/2/15,13.1
2021/2/16,8.4
2021/2/17,3.9
2021/2/18,2.6
2021/2/19,5.1
2021/2/20,10
2021/2/21,13.6
2021/2/22,14.7
2021/2/23,10.5
2021/2/24,6.3
2021/2/25,7.5
2021/2/26,7.6
2021/2/27,6.7
2021/2/28,9.5
2021/3/1,14.3
2021/3/2,10.3
2021/3/3,6.8
2021/3/4,11
2021/3/5,12
2021/3/6,11.7
2021/3/7,8.5
2021/3/8,8.5
2021/3/9,9.2
2021/3/10,11.1
2021/3/11,10.2
2021/3/12,11.9
2021/3/13,11.5
2021/3/14,10.8
2021/3/15,11.8
2021/3/16,13.8
2021/3/17,12.1
2021/3/18,11.4
2021/3/19,13.3
2021/3/20,15.4
2021/3/21,14.4
2021/3/22,10.1
2021/3/23,10.3
2021/3/24,13.5
2021/3/25,14
2021/3/26,13.4
2021/3/27,14
2021/3/28,15.8
2021/3/29,16.6
2021/3/30,16.5
2021/3/31,15.3
2021/4/1,16.3
2021/4/2,18.8
2021/4/3,18
2021/4/4,17
2021/4/5,12.4
2021/4/6,11.5
2021/4/7,14.2
2021/4/8,14.9
2021/4/9,11.9
2021/4/10,11.1
2021/4/11,13.7
2021/4/12,16.7
2021/4/13,17.9
2021/4/14,14.7
2021/4/15,13.3
2021/4/16,16.2
2021/4/17,13.8
2021/4/18,12.2
2021/4/19,13.5
2021/4/20,17
2021/4/21,19.3
2021/4/22,19.4
2021/4/23,18.1
2021/4/24,18
2021/4/25,16.8
2021/4/26,13.5
2021/4/27,15.5
2021/4/28,16.8
2021/4/29,15.3
2021/4/30,18
2021/5/1,18.3
2021/5/2,14.1
2021/5/3,15.7
2021/5/4,18.5
2021/5/5,17.3
2021/5/6,19.2
2021/5/7,17.6
2021/5/8,18.7
2021/5/9,20.5
2021/5/10,19.1
2021/5/11,18.9
2021/5/12,17.7
2021/5/13,21.1
2021/5/14,22.9
2021/5/15,22.8
2021/5/16,21
2021/5/17,23
2021/5/18,22.2
2021/5/19,21.2
2021/5/20,20.3
2021/5/21,21.3
2021/5/22,19.4
2021/5/23,21.9
2021/5/24,20
2021/5/25,21.1
2021/5/26,20.5
2021/5/27,16.8
2021/5/28,20.6
2021/5/29,22.8
2021/5/30,21.8
2021/5/31,22.2
2021/6/1,23.2
2021/6/2,23.4
2021/6/3,22.9
2021/6/4,20.3
2021/6/5,20.7
2021/6/6,22.7
2021/6/7,25
2021/6/8,26
2021/6/9,25.9
2021/6/10,25.2
2021/6/11,24.3
2021/6/12,24.6
2021/6/13,23.6
2021/6/14,24.5
2021/6/15,25.3
2021/6/16,21.9
2021/6/17,24.5
2021/6/18,23.5
2021/6/19,21
2021/6/20,23.2
2021/6/21,24.5
2021/6/22,24.1
2021/6/23,24.8
2021/6/24,24.7
2021/6/25,25.5
2021/6/26,24.1
2021/6/27,23.7
2021/6/28,24.9
2021/6/29,24.6
2021/6/30,25.1
2021/7/1,23.1
2021/7/2,24.8
2021/7/3,27.1
2021/7/4,27.5
2021/7/5,28.3
2021/7/6,28.4
2021/7/7,25.4
2021/7/8,25.5
2021/7/9,26.7
2021/7/10,27.8
2021/7/11,28.3
2021/7/12,26.9
2021/7/13,27.3
2021/7/14,26.2
2021/7/15,25.9
2021/7/16,26.7
2021/7/17,28.6
2021/7/18,28.1
2021/7/19,29
2021/7/20,29
2021/7/21,29.5
2021/7/22,29.2
2021/7/23,29.1
2021/7/24,29.1
2021/7/25,29.2
2021/7/26,29.8
2021/7/27,30
2021/7/28,29.6
2021/7/29,29.6
2021/7/30,30.2
2021/7/31,30
2021/8/1,29.8
2021/8/2,30.1
2021/8/3,28
2021/8/4,30.1
2021/8/5,31.3
2021/8/6,30.1
2021/8/7,30.7
2021/8/8,31.1
2021/8/9,28
2021/8/10,28.2
2021/8/11,27.8
2021/8/12,25
2021/8/13,25
2021/8/14,26.3
2021/8/15,25
2021/8/16,25.4
2021/8/17,24.2
2021/8/18,26.1
2021/8/19,23.4
2021/8/20,24.6
2021/8/21,26.1
2021/8/22,27.9
2021/8/23,28.3
2021/8/24,28.5
2021/8/25,29.5
2021/8/26,29.7
2021/8/27,30
2021/8/28,30
2021/8/29,30.2
2021/8/30,30.4
2021/8/31,29.5
2021/9/1,28.3
2021/9/2,25.1
2021/9/3,22.9
2021/9/4,24.1
2021/9/5,25.9
2021/9/6,26
2021/9/7,25.2
2021/9/8,24.8
2021/9/9,25.1
2021/9/10,26.4
2021/9/11,26.1
2021/9/12,24.8
2021/9/13,25.1
2021/9/14,21.4
2021/9/15,23.7
2021/9/16,24.3
2021/9/17,23.8
2021/9/18,25.7
2021/9/19,25.4
2021/9/20,25.8
2021/9/21,25.3
2021/9/22,25.9
2021/9/23,25.9
2021/9/24,24.5
2021/9/25,24.6
2021/9/26,21
2021/9/27,23.5
2021/9/28,24.5
2021/9/29,25.2
2021/9/30,24.7
2021/10/1,24.8
2021/10/2,23.9
2021/10/3,24.4
2021/10/4,24.9
2021/10/5,25.5
2021/10/6,23.8
2021/10/7,24.9
2021/10/8,25.6
2021/10/9,25.6
2021/10/10,25.7
2021/10/11,25.2
2021/10/12,24.5
2021/10/13,24.2
2021/10/14,23
2021/10/15,22.7
2021/10/16,22.6
2021/10/17,16.7
2021/10/18,16
2021/10/19,16.9
2021/10/20,15.3
2021/10/21,14.3
2021/10/22,15.7
2021/10/23,15.2
2021/10/24,14.7
2021/10/25,14.4
2021/10/26,16.5
2021/10/27,16.5
2021/10/28,17.1
2021/10/29,15.9
2021/10/30,16.4
2021/10/31,17.6
2021/11/1,18.3
2021/11/2,17.8
2021/11/3,16.7
2021/11/4,15.9
2021/11/5,15.6
2021/11/6,15.4
2021/11/7,17.4
2021/11/8,19.4
2021/11/9,15.3
2021/11/10,14.4
2021/11/11,12.9
2021/11/12,12.4
2021/11/13,12.1
2021/11/14,13.4
2021/11/15,14.2
2021/11/16,14.5
2021/11/17,14.2
2021/11/18,14.1
2021/11/19,14.2
2021/11/20,14.7
2021/11/21,14.6
2021/11/22,14.8
2021/11/23,10.6
2021/11/24,11.3
2021/11/25,14
2021/11/26,14.1
2021/11/27,9.2
2021/11/28,9.3
2021/11/29,9.6
2021/11/30,13.5
2021/12/1,10.8
2021/12/2,8
2021/12/3,9.6
2021/12/4,10
2021/12/5,7.7
2021/12/6,10.5
2021/12/7,11.1
2021/12/8,12
2021/12/9,11.3
2021/12/10,11.4
2021/12/11,11.7
2021/12/12,12.9
2021/12/13,9.6
2021/12/14,8.2
2021/12/15,9.8
2021/12/16,11.2
2021/12/17,9.6
2021/12/18,4.9
2021/12/19,6.9
2021/12/20,9.3
2021/12/21,10.3
2021/12/22,8.9
2021/12/23,8.2
2021/12/24,9
2021/12/25,8.8
2021/12/26,3.6
2021/12/27,3.4
2021/12/28,5.6
2021/12/29,7
2021/12/30,7.9
2021/12/31,4
